,y,count,x,xmin,xmax,density,ncount,ndensity,PANEL,group,ymin,ymax,colour,fill,size,linetype,alpha,,,,,,max',1
52,10,10,10.24,10.08,10.4,0.120656371,0.909090909,75.34545455,1,-1,0,10,NA,grey35,0.5,1,NA,0.32,0.038610039,0.120656371,0.909090909,75.34545455,,
53,11,11,10.56,10.4,10.72,0.132722008,1,82.88,1,-1,0,11,NA,grey35,0.5,1,NA,0.32,0.042471042,0.132722008,1,82.88,,
54,8,8,10.88,10.72,11.04,0.096525097,0.727272727,60.27636364,1,-1,0,8,NA,grey35,0.5,1,NA,0.32,0.030888031,0.096525097,0.727272727,60.27636364,,
55,11,11,11.2,11.04,11.36,0.132722008,1,82.88,1,-1,0,11,NA,grey35,0.5,1,NA,0.32,0.042471042,0.132722008,1,82.88,,
56,5,5,11.52,11.36,11.68,0.060328185,0.454545455,37.67272727,1,-1,0,5,NA,grey35,0.5,1,NA,0.32,0.019305019,0.060328185,0.454545455,37.67272727,,
57,8,8,11.84,11.68,12,0.096525097,0.727272727,60.27636364,1,-1,0,8,NA,grey35,0.5,1,NA,0.32,0.030888031,0.096525097,0.727272727,60.27636364,,
58,11,11,12.16,12,12.32,0.132722008,1,82.88,1,-1,0,11,NA,grey35,0.5,1,NA,0.32,0.042471042,0.132722008,1,82.88,,
59,8,8,12.48,12.32,12.64,0.096525097,0.727272727,60.27636364,1,-1,0,8,NA,grey35,0.5,1,NA,0.32,0.030888031,0.096525097,0.727272727,60.27636364,,
60,6,6,12.8,12.64,12.96,0.072393822,0.545454545,45.20727273,1,-1,0,6,NA,grey35,0.5,1,NA,0.32,0.023166023,0.072393822,0.545454545,45.20727273,,
61,5,5,13.12,12.96,13.28,0.060328185,0.454545455,37.67272727,1,-1,0,5,NA,grey35,0.5,1,NA,0.32,0.019305019,0.060328185,0.454545455,37.67272727,,
62,5,5,13.44,13.28,13.6,0.060328185,0.454545455,37.67272727,1,-1,0,5,NA,grey35,0.5,1,NA,0.32,0.019305019,0.060328185,0.454545455,37.67272727,,
63,3,3,13.76,13.6,13.92,0.036196911,0.272727273,22.60363636,1,-1,0,3,NA,grey35,0.5,1,NA,0.32,0.011583012,0.036196911,0.272727273,22.60363636,,
64,3,3,14.08,13.92,14.24,0.036196911,0.272727273,22.60363636,1,-1,0,3,NA,grey35,0.5,1,NA,0.32,0.011583012,0.036196911,0.272727273,22.60363636,,
65,0,0,14.4,14.24,14.56,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
66,3,3,14.72,14.56,14.88,0.036196911,0.272727273,22.60363636,1,-1,0,3,NA,grey35,0.5,1,NA,0.32,0.011583012,0.036196911,0.272727273,22.60363636,,
67,7,7,15.04,14.88,15.2,0.084459459,0.636363636,52.74181818,1,-1,0,7,NA,grey35,0.5,1,NA,0.32,0.027027027,0.084459459,0.636363636,52.74181818,,
68,2,2,15.36,15.2,15.52,0.024131274,0.181818182,15.06909091,1,-1,0,2,NA,grey35,0.5,1,NA,0.32,0.007722008,0.024131274,0.181818182,15.06909091,,
69,7,7,15.68,15.52,15.84,0.084459459,0.636363636,52.74181818,1,-1,0,7,NA,grey35,0.5,1,NA,0.32,0.027027027,0.084459459,0.636363636,52.74181818,,
70,1,1,16,15.84,16.16,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
71,1,1,16.32,16.16,16.48,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
72,2,2,16.64,16.48,16.8,0.024131274,0.181818182,15.06909091,1,-1,0,2,NA,grey35,0.5,1,NA,0.32,0.007722008,0.024131274,0.181818182,15.06909091,,
73,5,5,16.96,16.8,17.12,0.060328185,0.454545455,37.67272727,1,-1,0,5,NA,grey35,0.5,1,NA,0.32,0.019305019,0.060328185,0.454545455,37.67272727,,
74,0,0,17.28,17.12,17.44,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
75,2,2,17.6,17.44,17.76,0.024131274,0.181818182,15.06909091,1,-1,0,2,NA,grey35,0.5,1,NA,0.32,0.007722008,0.024131274,0.181818182,15.06909091,,
76,1,1,17.92,17.76,18.08,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
77,4,4,18.24,18.08,18.4,0.048262548,0.363636364,30.13818182,1,-1,0,4,NA,grey35,0.5,1,NA,0.32,0.015444015,0.048262548,0.363636364,30.13818182,,
78,5,5,18.56,18.4,18.72,0.060328185,0.454545455,37.67272727,1,-1,0,5,NA,grey35,0.5,1,NA,0.32,0.019305019,0.060328185,0.454545455,37.67272727,,
79,1,1,18.88,18.72,19.04,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
80,0,0,19.2,19.04,19.36,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
81,0,0,19.52,19.36,19.68,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
82,1,1,19.84,19.68,20,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
83,0,0,20.16,20,20.32,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
84,0,0,20.48,20.32,20.64,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
85,0,0,20.8,20.64,20.96,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
86,0,0,21.12,20.96,21.28,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
87,3,3,21.44,21.28,21.6,0.036196911,0.272727273,22.60363636,1,-1,0,3,NA,grey35,0.5,1,NA,0.32,0.011583012,0.036196911,0.272727273,22.60363636,,
88,0,0,21.76,21.6,21.92,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
89,1,1,22.08,21.92,22.24,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
90,0,0,22.4,22.24,22.56,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
91,0,0,22.72,22.56,22.88,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
92,1,1,23.04,22.88,23.2,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
93,0,0,23.36,23.2,23.52,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
94,0,0,23.68,23.52,23.84,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
95,0,0,24,23.84,24.16,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
96,0,0,24.32,24.16,24.48,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
97,0,0,24.64,24.48,24.8,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
98,1,1,24.96,24.8,25.12,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
99,0,0,25.28,25.12,25.44,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
100,0,0,25.6,25.44,25.76,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
101,0,0,25.92,25.76,26.08,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
102,1,1,26.24,26.08,26.4,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
